Time,F-Scale,Location,County,State,Lat,Lon,Comments
2243,UNK,3 SSE COLEMAN,MIDLAND,MI,43.71,-84.57,EF1 TORNADO WITH WINDS ESTIMATED TO 90 MPH STARTED NEAR WEINERT AND LEWIS ROADS WHERE A GARAGE WAS DESTOYED. THE TORNADO MOVED NORTHEST DAMAGING 3 MORE POLE BARNS AND U (DTX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1913,UNK,3 W LUTCHER,ST. JAMES,LA,30.06,-90.76,WINDS BLEW A SHED ABOUT 50 FEET FROM ITS FOUNDATION AND DOWNED A FEW POWERLINES IN THE GRAND POINT AREA. TIME ESTIMATED FROM RADAR. (LIX)
2000,UNK,6 N CADILLAC,WEXFORD,MI,44.34,-85.42,WEXFORD CO DISPATCH REPORTS RESIDENT WITH A PONTOON BOAT FLIPPED AND SIDING RIPPED OFF HOUSE. TIME ESTIMATED FROM RADAR. (APX)
2015,63,2 N CADILLAC,WEXFORD,MI,44.28,-85.42,MEASURED AT THE WEXFORD COUNTY AIRPORT. (APX)
2114,UNK,2 SE DES ALLEMANDS,ST. CHARLES,LA,29.81,-90.41,ONE SHED HEAVILY DAMAGED BY THUNDERSTORM WINDS IN THE BAYOU GAUCHE AREA. (LIX)
2257,UNK,3 SSE COLEMAN,MIDLAND,MI,43.72,-84.57,MIDLAND COUNTY 911 REPORTED A POLEBARN WAS BLOWN DOWN AND THE ROOF WAS BLOWN OFF A HOUSE NEAR THE INTERSECTION OF WEINERT ROAD AND NORTH LEWIS ROAD. (DTX)
2320,UNK,3 SSE MOUNT FOREST,BAY,MI,43.84,-84.09,MULTIPLE TREES DOWN AND A BOAT DESTROYED. (DTX)
Time,Size,Location,County,State,Lat,Lon,Comments
1638,100,KANSASVILLE,RACINE,WI,42.68,-88.11,(MKX)
1700,100,N UNION GROVE,RACINE,WI,42.68,-88.05,(MKX)
1701,175,CALEDONIA,RACINE,WI,42.81,-87.92,(MKX)
2208,100,PLAINWELL,ALLEGAN,MI,42.44,-85.64,REPORT FROM PLAINWELL HIGH SCHOOL OF DIME TO QUARTER SIZE HAIL. (GRR)
2243,200,COLEMAN,MIDLAND,MI,43.76,-84.59,MULTIPLE REPORTS AND PICUTRES OF 2 INCH HAIL IN COLEMAN. (DTX)
