Time,F-Scale,Location,County,State,Lat,Lon,Comments
1257,UNK,PATTERSON,ST. MARY,LA,29.69,-91.31,NWS STORM SURVEY CONFIRMED AN EF0 TORNADO WITH A PATH ONE MILE LONG AND FORTY YARDS WIDE. A FEW TREES HAD LIMBS SNAPPED OFF. A LARGE INDUSTRIAL BUILDING HAD ITS GARAGE (LCH)
1330,UNK,2 W GRAYSON,CALDWELL,LA,32.05,-92.15,POSSIBLE TORNADO DAMAGED ABOUT 20 HOMES...AND DOWNED NUMEROUS TREES ALONG HWY 126 ABOUT 2 MILES WEST OF GRAYSON. (SHV)
1338,UNK,2 W GRAYSON,CALDWELL,LA,32.05,-92.15,AN EF1 TORNADO TOUCHED DOWN ALONG STATE ROUTE 845 SNAPPING A FEW TREES. THE TORNADO CROSSED HWY. 126 ALONG MCCRARY RD. WHERE MOST OF THE DAMAGE OCCURRED. 20 HOMES WERE (SHV)
1434,UNK,PRAIRIEVILLE,ASCENSION,LA,30.3,-90.97,NWS STORM SURVEY TEAM CONFIRMED A TORNADO TOUCHED DOWN AND TRACKED THROUGH PORTIONS OF PRAIRIEVILLE. THE TORNADO INITIALLY TOUCHED DOWN ALONG DUPLESSIS RD...TRACKED APP (LIX)
1500,UNK,WENONA,WASHINGTON,NC,35.73,-76.63,A VERY WEAK AND BRIEF TORNADO TOUCHED DOWN NEAR WENONA THIS MORNING. THE TORNADO WAS SPOTTED IN AN OPEN FIELD AND DID NO DAMAGE. THIS TORNADO WAS NOT ASSOCIATED WITH A (MHX)
1505,UNK,4 NE WALKER,LIVINGSTON,LA,30.53,-90.83,WEAK TORNADO TOUCHED DOWN JUST SOUTH OF VARNADO ROAD AND TRACKED NORTH-NORTHWEST ACROSS NORTH CORBIN ROAD. A HOME LOST A PORTION OF THE ROOF AND SEVERAL TREES WERE SNAP (LIX)
1523,UNK,1 E MCNAIR,JEFFERSON,MS,31.64,-91.02,NWS STORM SURVEY TEAM CONFIRMED AN EF1 TORNADO WITH MAXIMUM WINDS OF 94 MPH IN JEFFERSON COUNTY. THE TORNADO TRACKED 3 MIILES ALONG A PATH WHICH BEGAN 1 MILE EAST OF MC (JAN)
1551,UNK,8 S VICKSBURG,WARREN,MS,32.21,-90.87,TORNADO BEGAN 8.5 MILES NNE OF PORT GIBSON AND ENDED 8 MILES SOUTH OF VICKSBURG. TWO MOBILE HOMES DESTROYED,3 OUTBUILDINGS DESTROYED AND ONE HOUSE HAD MAJOR ROOF DAMAG (JAN)
1554,UNK,3 SE YOKENA,WARREN,MS,32.14,-90.9,NUMEROUS REPORTS OF TREES AND POWERLINES DOWN WITH NUMEROUS ROADS BLOCKED. MEMA STAFF ON SCENE REPORTS NUMEROUS TREES DOWN IN PATTERN THAT SUGGESTS A TORNADO...AND RADA (JAN)
1611,UNK,2 SSE VICKSBURG,WARREN,MS,32.3,-90.86,THIS TORNADO OVERTURNED TWO TRAILERS...SNAPPED TREES AND PEELED PART OF A MEDAL ROOF OFF A BUILDING AT THE ARMY CORPS OF ENGINEERS EXPERIMENTAL STATION. THE TORNADO WAS (JAN)
