Time,F Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1850,UNK,1 WSW ALBANY,DOUGHERTY,GA,31.57,-84.19,FOX31 NEWS ARTICLE REPORTS LARGE TREE DOWN IN THE ROAD AT THE 1800 BLOCK OF EDGERLY AVE. (TAE)
1915,UNK,1 W MORGANTON,BURKE,NC,35.74,-81.72,ONE TREE BLOWN OVER ON DAVIS DRIVE. TIME IS APPROXIMATE BASED ON ESTIMATED TIME FROM OBSERVER AND RADAR. (GSP)
1947,UNK,GURDON,CLARK,AR,33.92,-93.15,A PLATE GLASS WINDOW WAS BLOWN OUT OF A STORE. (LZK)
2010,UNK,1 W HARP,HOT SPRING,AR,34.33,-92.81,LARGE TREE LIMBS REPORTED DOWN. (LZK)
2015,UNK,KRUM,DENTON,TX,33.27,-97.25,POWER POLE DOWN AND SHINGLES OFF OF ROOF. (FWD)
2030,UNK,3 S HOMER,CLAIBORNE,LA,32.75,-93.06,A LARGE TREE LIMB WAS BLOWN INTO A PASSING VEHICLE TRAVELING HIGHWAY 9...SHATTERING THE WINDSHIELD. THE MOTORIST WAS NOT INJURED. (SHV)
2030,UNK,5 SE SHONGALOO,WEBSTER,LA,32.89,-93.23,TREES DOWN NEAR SHONGALOO (SHV)
2030,60,PROSPER,COLLIN,TX,33.23,-96.82,60 MPH WIND GUST FROM SPOTTER IN PROSPER (FWD)
2035,UNK,7 E BRANDON,RANKIN,MS,32.28,-89.88,REPORTS OF MULTIPLE TREES DOWN AND SOME TREES ON POWERLINES IN EAST BRANDON AND PELAHATCHIE AREA. TREES WERE ALSO DOWN ON WALTERS ROAD NEAR HIGHWAY 43. (JAN)
2036,UNK,3 NE PROSPER,COLLIN,TX,33.26,-96.78,GARAGE DOOR REPORTED BLOWN IN WITH STREET SIGNS TWISTED AT 1461 AND 2478 IN PROSPER (FWD)
2045,UNK,3 S ELLISVILLE,JONES,MS,31.56,-89.21,TREE FELL ON VEHICLE ON AUGUSTA RD. ROAD IS BLOCKED. UNKNOWN INJURIES. (JAN)
2050,66,5 SW BUTLER,CUSTER,OK,35.58,-99.25,(OUN)
2100,UNK,7 N HATTIESBURG,FORREST,MS,31.41,-89.31,LARGE TREE DOWN AT EATONVILLE RD AND SIBS HOBSON. (JAN)
2100,65,JACKSON,HINDS,MS,32.32,-90.21,AT A DOWNTOWN JACKSON OFFICE BUILDING. (JAN)
2100,UNK,3 NNW MINDEN,WEBSTER,LA,32.66,-93.3,TREES DOWN ON DORCHEAT ROAD (SHV)
2104,UNK,1 SE HERMITAGE,BRADLEY,AR,33.44,-92.16,TREES DOWN ALONG HWY 160 WITH POWER OUTAGES REPORTED IN HERMITAGE. (LZK)
2105,UNK,JACKSON,HINDS,MS,32.32,-90.21,TREE DOWN AT 711 W CAPITOL ST (JAN)
2111,UNK,1 NNE BALTIMORE MARTIN,BALTIMORE,MD,39.34,-76.42,LARGE TREE DOWN NEAR INTERSECTION OF EASTERN AND WHITE MARSH AVENUES. (LWX)
2120,UNK,6 S JACKSON,HINDS,MS,32.23,-90.21,TREES DOWN IN BYRAM/LAKE RIDGELEA AREA. TREE ON CAR ON W RIDGE DR AND ANOTHER TREE FELL ON A PATIO ON ROD ST (JAN)
2125,UNK,2 SSW MCLAURIN,FORREST,MS,31.14,-89.23,TREES DOWN AT BLUEMOON DR AND CAMP DANTZLER RD. (JAN)
2130,UNK,SELLS,PIMA,AZ,31.92,-111.88,MULTIPLE POWER POLES DOWN IN SELLS (TWC)
2130,UNK,3 W RANDALL,CLEVELAND,AR,34.03,-92.09,TREES REPORTED DOWN ACROSS HWY 133 NEAR RODGERS RD. (LZK)
2140,UNK,WESLEY CHAPEL,PASCO,FL,28.24,-82.33,THERE WAS DAMAGE TO A COUPLE OF CARPORTS AND FENCES. SMALL HAIL AND MINOR FLOODING WAS ALSO REPORTED. TIME IS ESTIMATED. (TBW)
2145,UNK,SELLS,PIMA,AZ,31.92,-111.88,NUMEROUS POWER POLES BROKEN IN HALF... AT BIGFIELDS 7 HOMES DAMAGED... POWER OUT FOR 20 MILE RADIUS... NO INJURIES (TWC)
2150,UNK,CRYSTAL SPRINGS,COPIAH,MS,31.99,-90.36,TREES DOWN AND POWER OUTAGES IN CRYSTAL SPRINGS. (JAN)
2158,65,HUGO,CHOCTAW,OK,34.01,-95.51,(TSA)
2158,UNK,HUGO,CHOCTAW,OK,34.01,-95.51,A LOT OF TREES AND TREE LIMBS DOWN ACROSS HUGO. SOME TREES BLOCKING ROADWAYS. (TSA)
2226,UNK,3 E HOPE,HEMPSTEAD,AR,33.67,-93.54,POWER OUT OFF HWY 32 (SHV)
2240,UNK,MATHEWS,MATHEWS,VA,37.43,-76.32,LARGE TREE DOWNED AND BLOCKING HIGHWAY 14 (AKQ)
2250,UNK,8 ENE FARMERVILLE,UNION,LA,32.82,-92.27,POWER LINES DOWN ON DELOUTRE SWITCH ROAD (SHV)
2320,UNK,WEST MONROE,OUACHITA,LA,32.51,-92.15,TREE DOWN CHADWICK AREA WEST MONROE (SHV)
2325,UNK,4 SW PARIS,LAMAR,TX,33.61,-95.58,FROM PARIS PD... DOWNED POWER LINES AND TREE LIMBS IN ROAD. REPORTED TREE LIMBS WERE BLOCKING ROADS. (FWD)
2330,62,4 E SCOTTSBLUFF,SCOTTS BLUFF,NE,41.87,-103.59,(CYS)
0000,UNK,11 S BOISE,ADA,ID,43.44,-116.26,A DOWNBURST CONFIRMED BY DOPPLER RADAR ASSOCIATED WITH A COLLAPSING THUNDERSTORM TORE OFF TREE TOPS AND REDUCED VISIBILITY TO 1/4 MILE. (BOI)
0018,UNK,5 SSW THREE POINTS,PIMA,AZ,32,-111.3,ROOF DAMAGE IN DIAMOND BELL RANCH...NUMEROUS SHEDS DAMAGED...8 INCH BRICK WALL ON CAR. (TWC)
0040,UNK,5 E BOISE,ADA,ID,43.61,-116.13,SEVERAL FENCES AND LARGE TREES BLOWN DOWN. ONE TREE SNAPPED AT ITS BASE. TRAMPOLINE BLOWN AGAINST FENCE. (BOI)
0110,UNK,6 SW HARRISONBURG,CATAHOULA,LA,31.71,-91.9,SCATTERED TREES DOWN SOUTHWEST OF TOWN CAUSING POWER OUTAGES AND ROAD BLOCKAGES. WINDS ESTIMATED BY EMERGENCY MANAGER TO BE 50 MPH. (JAN)
0206,60,3 N NORTH PLATTE,LINCOLN,NE,41.18,-100.77,OFF DUTY NWS EMPLOYEE ESTIMATED 60 MPH THUNDERSTORM WIND GUST. (LBF)
0314,67,6 NE AVRA VALLEY,PINAL,AZ,32.5,-111.24,DELAYED REPORT...PINAL AIRPARK (TWC)
0441,66,6 NE NOGALES,SANTA CRUZ,AZ,31.43,-110.86,WIND GUST TO 66 MPH AT 932 PM MST. (TWC)
Time,Size,Location,County,State,Lat,Lon,Comments
0035,125,5 S RINGGOLD,MCPHERSON,NE,41.44,-100.77,(LBF)
