Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1920,UNK,CHINA GROVE,ROWAN,NC,35.57,-80.58,TREES AND POWERLINES BLOWN DOWN. TIME ESTIMATED BY RADAR. (GSP)
1942,UNK,ROCKWELL,ROWAN,NC,35.55,-80.41,SMALL STORAGE BUILDING DESTROYED BY HIGH WINDS ON WEST PARK DRIVE. TIME DETERMINED FROM RADAR. (GSP)
2144,UNK,MONROE,UNION,NC,34.99,-80.54,SEVERAL LARGE TREES BLOWN DOWN ON FOWLER SEACREST RD. (GSP)
2205,UNK,1 N POLKTON,ANSON,NC,35.02,-80.2,TREE DOWN ON ROUTE 1418 (RAH)
0100,UNK,5 NW BAKER,LEMHI,ID,45.15,-113.8,THE LEMHI COUNTY SHERIFF DISPATCH REPORTED THAT SEVERAL TREES WERE DOWN FROM STRONG GUSTY WINDS. AT LEAST ONE OF THE TREES WAS A COTTONWOOD AND ONE OF THE TREES FELL ON (MSO)
Time,Size,Location,County,State,Lat,Lon,Comments
1949,100,GOLD HILL,ROWAN,NC,35.52,-80.34,TIME DETERMINED FROM RADAR DATA. (GSP)
2133,100,TARBORO,EDGECOMBE,NC,35.91,-77.56,TARBORO FIRE DEPARTMENT OBSERVED HAIL UP TO QUARTER SIZE. (RAH)
