Time,F_Scale,Location,County,State,Lat,Lon,Comments
1726,UNK,5 SE NORTH PLATTE,LINCOLN,NE,41.08,-100.7,A WEAK LAND SPOUT TYPE TORNADO WAS SPOTTED FROM THE WEATHER OFFICE AT LEE BIRD FIELD. (LBF)
1733,UNK,6 SE NORTH PLATTE,LINCOLN,NE,41.07,-100.69,OFF-DUTY NWS EMPLOYEE SPOTTED A TORNADO LOOKING NORTH FROM 15 MILES SOUTHEAST OF NORTH PLATTE. (LBF)
Time,Speed,Location,County,State,Lat,Lon,Comments
1200,65,3 SSW WHITLOCKS BAY REC,POTTER,SD,45.01,-100.29,(ABR)
1230,60,5 S POTATO CREEK,JACKSON,SD,43.46,-101.99,(UNR)
1250,62,TOLSTOY,POTTER,SD,45.21,-99.61,(ABR)
1430,78,TOLSTOY,POTTER,SD,45.21,-99.61,POSSIBLE WAKE LOW - DAMAGE TO OUTBUILDINGS NEARBY IN FAULK CO (ABR)
1825,UNK,6 SSW NIMROD,WADENA,MN,46.56,-94.93,BIRCH TREE TAKEN DOWN NEAR LYONS STATE FOREST (FGF)
1903,UNK,1 NW MONTVALE,BEDFORD,VA,37.39,-79.74,1 TREE DOWN ALONG INTERSTATE 460 IN THE VICINITY OF MONTVALE (RNK)
2040,58,4 SSE ROSWELL,CHAVES,NM,33.32,-104.5,KROW ASOS. (ABQ)
2045,UNK,5 NE GREENVILLE,GREENVILLE,SC,34.88,-82.3,STRONG WIND BROUGHT DOWN A MAGNOLIA TREE IN THE CARIS BROOKE DIVISION OFF HUDSON ROAD. BASE VELOCITY RADAR INDICATES 32 KNOT WIND IN THAT AREA AT 445 PM. (GSP)
2120,UNK,ST. PETER,FAYETTE,IL,38.87,-88.85,CARPORT ROOF BLOWN OFF...SEVERAL POWER POLES LEANING 45 DEGREES...SEVERAL LARGE TREE LIMBS BLOWN DOWN...VIA TWITTER. (LSX)
2133,UNK,1 SSE GEORGETOWN,DISTRICT OF COLUM,DC,38.91,-77.07,A TREE WAS REPORTED DOWN AT 37TH STREET NORTHWEST AND RESERVOIR ROAD NORTHWEST. (LWX)
