Time,F_Scale,Location,County,State,Lat,Lon,Comments
1330,UNK,4 WNW BILOXI,HARRISON,MS,30.44,-88.99,TWO TORNADOES SPOTTED NEAR WOOLMARKET RD. TREE... POWERLINE... AND FENCE DAMAGE IN THE VICINITY OF BEAUVOIR RD... RICH AVE... AND POPPS FERRY RD (LIX)
1338,UNK,4 NW BILOXI,HARRISON,MS,30.46,-88.98,TWO TORNADOES SPOTTED NEAR WOOLMARKET RD (LIX)
2324,UNK,6 NNE BRECKENRIDGE,WILKIN,MN,46.34,-96.54,VIDEO AND PHOTOGRAPHIC EVIDENCE SHOW THAT THIS TORNADO TOUCHED DOWN AND TRACKED TO THE EAST SOUTHEAST OVER OPEN FIELDS FOR A HALF MILE OF LESS...AND ENDED BY AROUND 625 (FGF)
2339,UNK,1 NE FOXHOME,WILKIN,MN,46.29,-96.3,MULTIPLE WITNESSES TO TORNADO TOUCHDOWN. TORNADO WAS RAIN WRAPPED AT THE TIME OF TOUCHDOWN. (FGF)
0010,UNK,2 NW ONYCHA,COVINGTON,AL,31.23,-86.31,LAW ENFORCEMENT AND PUBLIC REPORTED A TORNADO NORTH OF ONYCHA MOVING NORTH (MOB)
Time,Speed,Location,County,State,Lat,Lon,Comments
1955,UNK,N FOLEY,BALDWIN,AL,30.41,-87.68,TREES AND POWERLINES DOWN. SOME MINOR DAMAGE TO HOMES ON STATE HWY 59. (MOB)
2000,UNK,POTTSTOWN,MONTGOMERY,PA,40.25,-75.64,TRESS AND POWERLINES DOWN WITH DAMAGE TO SOME HOMES... WINDS 70+MPH... TIME ESTIMATED (PHI)
2014,UNK,FRANCONIA,MONTGOMERY,PA,40.31,-75.36,TWO LARGE LIMBS DOWN... TIME ESTIMATED (PHI)
2026,UNK,NORRISTOWN,MONTGOMERY,PA,40.12,-75.34,LARGE BRANCHES DOWN... TIME ESTIMATED (PHI)
2026,64,34 ESE MANILA,DAGGETT,UT,40.86,-109.1,MESONET STATION KPRU1... KINGS POINT - 26 WSW HIAWATHA. (GJT)
2033,72,3 N CONSHOHOCKEN,MONTGOMERY,PA,40.12,-75.29,TIME ESTIMATED (PHI)
2035,UNK,RADNOR,DELAWARE,PA,40.05,-75.36,NUMEROUS LARGE TREES DOWN... TIME ESTIMATED (PHI)
2042,UNK,WARMINSTER HEIGHTS,BUCKS,PA,40.19,-75.08,LARGE TREE LIMBS DOWN (PHI)
2045,UNK,MAYFAIR,PHILADELPHIA,PA,40.03,-75.03,TREES DOWN... TIME ESTIMATED (PHI)
2046,65,FISHTOWN,PHILADELPHIA,PA,39.97,-75.14,(PHI)
2050,UNK,COLLINGSWOOD,CAMDEN,NJ,39.92,-75.08,LARGE BRANCH DOWN ON SOME WIRES... TIME ESTIMATED (PHI)
2053,UNK,CINNAMINSON,BURLINGTON,NJ,40,-74.99,TREE DOWN... TIME ESTIMATED (PHI)
2058,UNK,SOUTH PHILADELPHIA,PHILADELPHIA,PA,39.91,-75.21,LARGE TREE DOWN... TIME ESTIMATED (PHI)
2107,UNK,BORDENTOWN,BURLINGTON,NJ,40.15,-74.71,TRESS DOWN... ONE ON A TRACKER TRAILER... TIME ESTIMATED (PHI)
2108,UNK,MOUNT HOLLY WFO,BURLINGTON,NJ,40.01,-74.82,MOUNT HOLLY TWP... SEVERAL TREES DOWN... TIME ESTIMATED (PHI)
2127,UNK,CREAM RIDGE,MONMOUTH,NJ,40.13,-74.52,TREES AND POWERLINES DOWN... TIME ESTIMATED (PHI)
2128,UNK,NEW EGYPT,OCEAN,NJ,40.06,-74.53,TRESS AND POWERLINES DOWN... TIME ESTIMATED (PHI)
2154,UNK,POINT PLEASANT BEACH,OCEAN,NJ,40.09,-74.05,TREE FELL ON A CAR... TIME ESTIMATED (PHI)
2205,UNK,LITTLE EGG HARBOR TWP,OCEAN,NJ,39.65,-74.35,SOME TREES DOWN. TIME ESTIMATED FROM RADAR. (PHI)
2212,UNK,3 SSE DELCHAMPS,MOBILE,AL,30.36,-88.13,REPORTS OF TREES DOWN ACROSS HIGHWAY 188 NEAR DAUPHIN ISLAND PARKWAY. (MOB)
2227,UNK,1 SSE DAWES,MOBILE,AL,30.59,-88.25,TREES DOWN ACROSS DAWES LANE NEAR THREE NOTCH RD (MOB)
2229,58,2 S WOODY CREEK,PITKIN,CO,39.25,-106.88,MESONET STATION CO104... 2 S WOODY CREEK. (GJT)
2232,60,1 E KENDALL,KEARNY,KS,37.93,-101.52,(DDC)
2245,61,4 SSE LAKIN,KEARNY,KS,37.89,-101.23,(DDC)
2315,60,5 SW ULYSSES,GRANT,KS,37.52,-101.41,(DDC)
2316,59,1 WSW BOYS RANCH,OLDHAM,TX,35.51,-102.27,(AMA)
2330,60,10 WSW KALVESTA,GRAY,KS,37.99,-100.45,(DDC)
2330,UNK,2 NW GRAND JUNCTION,MESA,CO,39.11,-108.58,A TREE BRANCH ABOUT 2.50 TO 3.00 INCHES IN DIAMETER BROKE OFF AND FELL IN THE WILSON RANCH PARK AREA AS A RESULT OF DOWNBURST WINDS. (GJT)
2335,68,4 NW PIERCEVILLE,FINNEY,KS,37.93,-100.72,REPORTED AT GCK. (DDC)
2339,UNK,4 W PENSACOLA,ESCAMBIA,FL,30.42,-87.26,TREES DOWN... POWERLINES DOWN...AND COSMETIC DAMAGE TO HOMES NEAR NORTH KIRK ST AND WEST BRAINERD ST. (MOB)
2340,UNK,6 N GULLY,POLK,MN,47.86,-95.62,A FEW LARGE 3 TO 5 INCH DIAMETER BRANCHES DOWN ALONG WITH A NUMBER OF DIME TO NICKEL SIZED HAIL. (FGF)
2345,60,5 S INGALLS,GRAY,KS,37.75,-100.45,(DDC)
2354,74,3 S FERGUS FALLS,OTTER TAIL,MN,46.24,-96.07,PEAK WIND MEASURED AT THE FERGUS FALLS AIRPORT. (FGF)
2358,58,7 ENE VALLEY DE ORO,POTTER,TX,35.5,-101.99,(AMA)
0000,UNK,5 W MONTEZUMA,GRAY,KS,37.59,-100.53,EMERGENCY MANAGER REPORTED SEVERAL TELEPHONE POLES BLOWN DOWN AT 8 ROAD AND CC ROAD. (DDC)
0004,UNK,5 NW DALTON,OTTER TAIL,MN,46.22,-95.99,A LARGE EVERGREEN TREE WAS SNAPPED ABOUT HALFWAY DOWN. REPORT POSTED VIA SOCIAL MEDIA. POWER OUTAGES OCCURRED ACROSS THE AREA. (FGF)
0008,UNK,4 SSW MAHNOMEN,MAHNOMEN,MN,47.26,-96,A COUPLE OF TREES WERE SPLIT AND BROKEN DOWN ACROSS POWER LINES RESULTING IN LOCAL POWER OUTAGES. TIME ESTIMATED BASED ON RADAR AND NEARBY WIND OBSERVATIONS. (FGF)
0012,UNK,3 NNE GRAND JUNCTION,MESA,CO,39.12,-108.53,55 GALLON DRUM FULL OF FUEL WAS BLOWN OVER AND INTO A PARKED VEHICLE. (GJT)
0015,60,2 SW HUGOTON,STEVENS,KS,37.16,-101.37,AWOS STATION HQG... HUGOTON. (DDC)
0015,65,ENSIGN,GRAY,KS,37.65,-100.23,(DDC)
0015,59,MINDEN,DOUGLAS,NV,38.96,-119.77,MINDEN AWOS STATION REPORTED A THUNDERSTORM GUST OF 59 MPH. (REV)
0035,60,3 S PLAINS CITY,MEADE,KS,37.22,-100.59,(DDC)
0038,60,KISMET,SEWARD,KS,37.2,-100.7,(DDC)
0053,60,1 E HOOKER,TEXAS,OK,36.86,-101.2,(AMA)
0120,65,2 NE FRIONA,PARMER,TX,34.65,-102.69,SEVERE WIND GUSTS FROM 820-830 PM. SUSTAINED WINDS IN EXCESS OF 50 MPH 825 AND 830 PM OBS. (LUB)
0126,70,6 WSW HEREFORD,DEAF SMITH,TX,34.79,-102.5,LATE REPORT...THUNDERSTORM WIND GUSTS BETWEEN 60 TO 70 MPH REPORTED BY TRAINED SPOTTER. (AMA)
0130,71,1 SSW BEAVER,BEAVER,OK,36.8,-100.53,(AMA)
0138,58,BALKO,BEAVER,OK,36.63,-100.68,(AMA)
0150,69,8 W SLAPOUT,BEAVER,OK,36.6,-100.26,(AMA)
0155,59,3 ENE PERRYTON,OCHILTREE,TX,36.41,-100.75,(AMA)
0213,65,17 S TEXHOMA,SHERMAN,TX,36.24,-101.81,(AMA)
0232,70,14 S TEXHOMA,SHERMAN,TX,36.28,-101.81,LATE REPORT...THUNDERSTORM WIND GUSTS BETWEEN 65 TO 70 MPH WAS REPORTED. (AMA)
0255,70,TEXHOMA,SHERMAN,TX,36.49,-101.81,LATE REPORT....THUNDERSTORM WIND GUST 60-70 MPH. GUST CONSITENTLY HIGH BETWEEN 945-1000PM (AMA)
0308,63,MORSE,HANSFORD,TX,36.06,-101.48,(AMA)
0335,70,TEXHOMA,SHERMAN,TX,36.49,-101.81,LATE REPORT....THUNDERSTORM WIND GUST 60-70 MPH. GUST CONSITENTLY HIGH BETWEEN 1030-1100PM. (AMA)
0610,UNK,5 NE HOWELLS,GENEVA,AL,31.1,-86.15,POWER OUTAGE DUE TO TREES. ALSO PUBLIC ESTIMATED WIND GUSTS OF 55-60 MPH IN THE AREA (TAE)
0809,UNK,4 ESE THOMAS,HAMLIN,SD,44.73,-97.13,16 TO 20 POWER POLES DOWN. POWER OUTAGES AS WELL. (ABR)
0848,UNK,1 W TORONTO,DEUEL,SD,44.57,-96.66,LAYED-OVER CORN AND HAIL DRIFTS. (ABR)
0935,60,8 NNE GANN VALLEY,BUFFALO,SD,44.14,-98.95,ESTIMATED WINDS OF AT LEAST 60 MPH. HAY BALES BLOWN OVER. TIME BASED ON RADAR. (ABR)
Time,Size,Location,County,State,Lat,Lon,Comments
2002,100,WINSTED,LITCHFIELD,CT,41.93,-73.07,TRAINED SPOTTER (ALY)
2100,100,TEXLINE,DALLAM,TX,36.38,-103.02,(AMA)
2315,100,4 ENE HAWLEY,CLAY,MN,46.9,-96.24,LOTS OF DIME TO QUARTER SIZED HAIL. (FGF)
2322,100,4 NNW LAKE PARK,BECKER,MN,46.94,-96.13,(FGF)
2335,100,3 N TRAIL,POLK,MN,47.83,-95.7,NICKEL TO QUARTER SIZED HAIL. REPORT POSTED VIA SOCIAL MEDIA. (FGF)
2345,100,2 SW INGALLS,GRAY,KS,37.81,-100.48,(DDC)
