Time,F-Scale,Location,County,State,Lat,Lon,Comments
0045,UNK,3 NW TRENTON,HITCHCOCK,NE,40.21,-101.05,REPORTED AS BRIEF. (GLD)
Time,Speed,Location,County,State,Lat,Lon,Comments
0201,70,13 S WHEELER,CHEYENNE,KS,39.57,-101.71,ALSO QUARTER SIZED HAIL. (GLD)
0237,71,16 E TRENTON,RED WILLOW,NE,40.17,-100.71,ALSO QUARTER SIZED HAIL. (GLD)
Time,Size,Location,County,State,Lat,Lon,Comments
2045,200,2 E FLEMING,LOGAN,CO,40.68,-102.8,(BOU)
2124,100,2 W SEDGWICK,SEDGWICK,CO,40.93,-102.56,(BOU)
2145,150,1 SSW OVID,SEDGWICK,CO,40.94,-102.39,(BOU)
2145,100,4 S CHAPPELL,DEUEL,NE,41.04,-102.47,(LBF)
2208,175,4 SW LEMOYNE,KEITH,NE,41.24,-101.85,REPORT FROM LAKE MCCONAUGHY (LBF)
2329,100,14 W TRYON,MCPHERSON,NE,41.56,-101.22,(LBF)
2333,100,4 W BRANDON,PERKINS,NE,40.8,-102.01,(LBF)
2334,250,8 ENE STRATTON NE,HITCHCOCK,NE,40.2,-101.09,(GLD)
2339,100,14 N EDSON,SHERMAN,KS,39.53,-101.54,(GLD)
2350,250,3 E GRANT,PERKINS,NE,40.84,-101.67,(LBF)
0002,100,5 S BIRD CITY,CHEYENNE,KS,39.68,-101.53,(GLD)
0032,200,2 W TRENTON,HITCHCOCK,NE,40.17,-101.05,ALSO ESTIMATED 60 MPH WIND GUSTS. (GLD)
0042,175,5 N GRAINTON,PERKINS,NE,40.89,-101.29,HAIL IN SIZE FROM GOLF BALL TO HALF INCH. (LBF)
0045,100,ATWATER,MERCED,CA,37.35,-120.6,(HNX)
0050,125,EUGENE,STANISLAUS,CA,37.89,-120.85,(STO)
0054,100,2 S WALLACE,LINCOLN,NE,40.81,-101.16,LOCATION ESTIMATED (LBF)
0105,175,MERCED,MERCED,CA,37.3,-120.48,(HNX)
0125,100,10 N DICKENS,LINCOLN,NE,40.97,-100.99,(LBF)
0216,150,10 SSW TRENTON,HITCHCOCK,NE,40.04,-101.09,ALSO 65 MPH WIND GUSTS. (GLD)
