Time,F-Scale,Location,County,State,Lat,Lon,Comments
2138,UNK,4 WNW AURORA,CLOUD,KS,39.47,-97.61,BRIEF TOUCHDOWN REPORTED. (TOP)
2259,UNK,7 NNE COUNCIL GROVE,MORRIS,KS,38.75,-96.44,DELAYED REPORT. MULTIPLE STORM CHASERS REPORTED A BRIEF 30 SECOND TOUCHDOWN IN NORTHERN MORRIS COUNTY. NO DAMAGE FROM THIS TORNADO HAS BEEN REPORTED. (TOP)
Time,Speed,Location,County,State,Lat,Lon,Comments
2030,UNK,WESTMINSTER,OCONEE,SC,34.67,-83.09,MULTIPLE TREES DOWN ACROSS WESTMINSTER. (GSP)
2105,UNK,3 S PUMPKINTOWN,PICKENS,SC,34.96,-82.65,DACUSVILLE FIRE DEPARTMENT REMOVED A TREE FROM POWERLINES ON CONNELLY ROAD. (GSP)
2116,UNK,1 SW OATS,DARLINGTON,SC,34.24,-80.09,TREE DOWN ON ROADWAY ON WEST SEVEN PINES RD. REPORTED BY SC HIGHWAY PATROL. (ILM)
2127,UNK,4 WSW TRAVELERS REST,GREENVILLE,SC,34.94,-82.51,TREE DOWN ALONG OLD HUNTS BRIDGE ROAD AT FAITH DR. (GSP)
2131,UNK,6 SSW ANDERSON,ANDERSON,SC,34.44,-82.68,TREES DOWN ON TROTTER RD AT HIGHWAY 29 AND NEARBY ON TRAVIS ROAD AT MT OLIVE BAPTIST CHURCH. (GSP)
2235,UNK,2 W AGENDA,REPUBLIC,KS,39.71,-97.47,3 INCH DIAMETER TREE LIMB BLOWN DOWN. (TOP)
2238,UNK,CHESTERFIELD,CHESTERFIELD,SC,34.74,-80.09,CHESTERFIELD COUNTY SHERIFF REPORTED TREES DOWN ON POWERLINES IN THE CITY OF CHESTERFIELD. (CAE)
2348,UNK,6 NNW BURLINGAME,OSAGE,KS,38.83,-95.88,NUMEROUS TREE LIMBS DOWN AT INTERSECTION OF WEST 125TH AND HOCH ROADS. LARGEST ARE JUST OVER 3 INCHES IN DIAMETER. TIME ESTIMATED BY RADAR. (TOP)
2355,60,3 SSW AUBURN,OSAGE,KS,38.86,-95.83,(TOP)
2359,UNK,4 E MARYSVILLE,MARSHALL,KS,39.84,-96.57,SEVERAL OUTBUILDINGS DAMAGED...TREES UPROOTED (TOP)
0248,UNK,2 S VALLEY FALLS,JEFFERSON,KS,39.31,-95.46,SPEED LIMIT SIGN BLOWN OVER...6-8 INCH DIAMETER TREE LIMBS BROKEN...WEATHER VANE BLOWN OFF ROOF (TOP)
0507,UNK,4 WNW WATERLOO,BLACK HAWK,IA,42.51,-92.43,TREE FELL ON CAR IN CEDAR FALLS...ESTIMATED 50 MPH WINDS WITH PASSING STORMS. (DMX)
Time,Size,Location,County,State,Lat,Lon,Comments
1240,100,3 S VODA,TREGO,KS,38.99,-100.02,(DDC)
1555,100,FAIR GROVE,GREENE,MO,37.38,-93.15,(SGF)
1916,125,2 SW TIPTON,OSBORNE,KS,39.32,-98.5,(GID)
2006,125,GLEN ELDER,MITCHELL,KS,39.5,-98.31,HAIL FALLING AT GLEN ELDER RESERVOIR. (GID)
2025,100,BETHUNE,KERSHAW,SC,34.41,-80.35,MINI MART IN BETHUNE REPORTED QUARTER SIZE HAIL IN THE CITY. (CAE)
2025,200,5 SSE WESTMINSTER,OCONEE,SC,34.6,-83.06,(GSP)
2033,100,4 W BELOIT,MITCHELL,KS,39.47,-98.18,QUARTER SIZE HAIL AT SOLOMON RAPIDS (GID)
2051,175,PAULINE,SPARTANBURG,SC,34.83,-81.87,GOLF BALL HAIL REPORTED ON HIGHWAY 215 AT FOSTER MILL CIRCLE. (GSP)
2112,100,3 W DELPHOS,OTTAWA,KS,39.27,-97.83,(TOP)
2120,175,5 N DELPHOS,CLOUD,KS,39.35,-97.77,(TOP)
2132,100,8 WNW BISHOPVILLE,LEE,SC,34.25,-80.39,PUBLIC REPORTED DIME TO QUARTER SIZE HAIL ALONG TIMBER CREEK ROAD. IT HAILED FOR 10 TO 15 MINUTES AND COVERED THE GROUND. (CAE)
2149,100,3 WSW FLORENCE,FLORENCE,SC,34.16,-79.83,QUARTER SIZE HAIL (ILM)
2201,100,3 W WOODBINE,DICKINSON,KS,38.8,-97.01,(TOP)
2215,100,1 N COWARD,FLORENCE,SC,33.99,-79.75,(ILM)
2222,100,JUNCTION CITY,GEARY,KS,39.03,-96.83,(TOP)
2242,100,2 SW DWIGHT,MORRIS,KS,38.83,-96.62,(TOP)
2248,100,3 ENE TABOR CITY,COLUMBUS,NC,34.16,-78.82,QUARTER SIZED HAIL MIXED IN WITH A LOT OF SMALLER STONES (ILM)
2255,100,3 S IVA,ABBEVILLE,SC,34.26,-82.66,LARGE LIMBS DOWN AND QUARTER SIZE HAIL (GSP)
2306,100,3 WSW NAKINA,COLUMBUS,NC,34.11,-78.72,NICKLE AND QUARTER SIZED HAIL FELL (ILM)
2325,100,BLACKSTOCK,CHESTER,SC,34.56,-81.15,(GSP)
2327,100,10 WNW OSAGE CITY,LYON,KS,38.69,-96,(TOP)
2330,100,S BLACKSTOCK,FAIRFIELD,SC,34.55,-81.15,PUBLIC REPORTED PENNY TO QUARTER SIZE HAIL AT BLACKSTOCK. (CAE)
2337,175,SW HARVEYVILLE,WABAUNSEE,KS,38.79,-95.96,(TOP)
2343,100,3 NE HARVEYVILLE,OSAGE,KS,38.82,-95.92,(TOP)
0026,175,2 SSW TOPEKA,SHAWNEE,KS,39.02,-95.69,HAIL REPORTED AT 21ST STREET AND WASHBURN (TOP)
0102,100,4 WNW SYRACUSE,HAMILTON,KS,38,-101.83,(DDC)
0120,125,1 WSW KENDALL,HAMILTON,KS,37.94,-101.55,MAINLY QUARTER BUT A FEW HALF DOLLAR SIZE HAIL (DDC)
0122,100,6 W LAKIN,KEARNY,KS,37.94,-101.37,(DDC)
0155,175,4 S DEERFIELD,KEARNY,KS,37.92,-101.12,(DDC)
0242,100,3 E EL DORADO SPRINGS,CEDAR,MO,37.88,-93.97,(SGF)
