Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1245,UNK,KAPLAN,VERMILION,LA,30,-92.28,MEDIA REPORTS TREES BLOWN DOWN... ONE FELL ON A HOUSE. POWERLINES WERE BLOWN DOWN AS WELL. (LCH)
1339,UNK,KAPLAN,VERMILION,LA,30,-92.28,REPORT FROM BROADCAST MEDIA OF MULTIPLE TREES BLOWN DOWN ON SOME ELECTRICAL LINES. (LCH)
1400,UNK,LYDIA,IBERIA,LA,29.92,-91.78,TREES SNAPPED OR BLOWN DOWN AND POWER POLES LEANING IN SEVERAL AREAS AROUND LYDIA. POSSIBLE TORNADO. (LCH)
Time,Size,Location,County,State,Lat,Lon,Comments
1245,100,KAPLAN,VERMILION,LA,30,-92.28,NUMEROUS MEDIA REPORTS OF HAIL IN KAPLAN. (LCH)
1358,100,NEW IBERIA,IBERIA,LA,30.01,-91.82,MEDIA REPORTS OF ONE INCH HAIL AROUND NEW IBERIA. (LCH)
1414,100,JEANERETTE,IBERIA,LA,29.92,-91.68,MEDIA REPORTS SHOWED ONE INCH HAIL IN JEANERETTE. (LCH)
2229,100,3 N BON WEIR,NEWTON,TX,30.78,-93.66,PUBLIC SUBMITTED A PHOTO TO LOCAL TV MEDIA OF QUARTER SIZE HAIL ON FM 2626. TIME ESTIMATED BY RADAR (LCH)
